Akcja,Unikatowe,Młodość,Dorosłość,Starość,Waga,Kariera,Zdrowie,Pieniądze,Relacje,Typ,Opis
Zakup instrumentu muzycznego,FALSE,TRUE,TRUE,TRUE,2,,-5,-10,20,Relacje,Nowe hobby i relaks
Przeprowadzka za granicę,TRUE,TRUE,TRUE,TRUE,5,40,-20,20,30,Kariera,Nowe wyzwania i rozwój w międzynarodowym środowisku
Zatrudnienie asystenta,TRUE,TRUE,TRUE,TRUE,4,20,-10,-10,25,Kariera,Ułatwienie pracy i zwiększenie produktywności
Udział w półmaratonie,FALSE,TRUE,TRUE,TRUE,3,15,15,-10,20,Zdrowie,Ambitne wyzwanie poprawiające kondycję
Założenie podcastu,TRUE,TRUE,TRUE,TRUE,4,25,-10,-10,25,Kariera,Tworzenie treści i budowa społeczności
Kurs finansów osobistych,FALSE,TRUE,TRUE,TRUE,3,10,,,-5,Pieniądze,Nauka zarządzania pieniędzmi
Nauka programowania,TRUE,TRUE,TRUE,TRUE,4,30,,-10,20,Kariera,Zwiększenie kompetencji technicznych i zawodowych
Zorganizowanie imprezy dla znajomych,FALSE,TRUE,TRUE,TRUE,1,,-5,-10,15,Relacje,Budowanie więzi i dobra zabawa
Kupno sprzętu sportowego,TRUE,TRUE,TRUE,TRUE,3,,-10,-15,20,Zdrowie,Motywacja do aktywności fizycznej
Praca zdalna z innego kraju,TRUE,TRUE,TRUE,TRUE,5,30,-15,20,25,Kariera,Elastyczność i rozwój międzynarodowy
Regularne spacery z partnerem,FALSE,TRUE,TRUE,TRUE,1,,5,,10,Relacje,Wspólny czas i dbanie o zdrowie
Zakup działki rekreacyjnej,TRUE,TRUE,TRUE,TRUE,4,20,,-40,30,Pieniądze,Inwestycja w wypoczynek i przyszłość
Otworzenie konta firmowego,TRUE,TRUE,TRUE,TRUE,4,15,,-5,20,Pieniądze,Formalny krok w stronę przedsiębiorczości
Codzienne afirmacje,FALSE,TRUE,TRUE,TRUE,1,,5,,5,Zdrowie,Wzmacnianie pewności siebie i motywacji
Dołączenie do organizacji pozarządowej,FALSE,TRUE,TRUE,TRUE,3,15,,-5,20,Relacje,Angażowanie się społecznie i poznawanie ludzi
Kurs zarządzania czasem,FALSE,TRUE,TRUE,TRUE,2,10,,,-5,Kariera,Poprawa efektywności i planowania dnia
Oszczędzanie 10% dochodu,TRUE,TRUE,TRUE,TRUE,3,5,,-10,15,Pieniądze,Stały nawyk finansowy budujący bezpieczeństwo
Udział w konferencji branżowej,TRUE,TRUE,TRUE,TRUE,3,10,,-10,15,Kariera,Networking i poznawanie nowych trendów
Uporządkowanie mieszkania,FALSE,TRUE,TRUE,TRUE,1,,5,,10,Zdrowie,Minimalizm i porządek wpływający na spokój
Wyjazd wellness,TRUE,TRUE,TRUE,TRUE,4,15,-5,-20,25,Zdrowie,Regeneracja i redukcja stresu
Zatrudnienie doradcy finansowego,TRUE,TRUE,TRUE,TRUE,4,15,,-10,20,Pieniądze,Wsparcie w zarządzaniu budżetem
Kurs grafiki komputerowej,TRUE,TRUE,TRUE,TRUE,4,25,,-10,25,Kariera,Nowe umiejętności w branży kreatywnej
Udział w szkoleniu z negocjacji,TRUE,TRUE,TRUE,TRUE,3,10,,,-5,Kariera,Lepsze umiejętności komunikacji w pracy
Zbudowanie domowej siłowni,TRUE,TRUE,TRUE,TRUE,4,20,-10,-30,25,Zdrowie,Inwestycja w zdrowie i wygodę ćwiczeń
Udział w konkursie branżowym,FALSE,TRUE,TRUE,TRUE,3,10,-5,,-5,Kariera,Sprawdzenie swoich umiejętności i zdobycie doświadczenia
Organizacja rodzinnej uroczystości,FALSE,TRUE,TRUE,TRUE,2,,-10,-15,25,Relacje,Wspólne świętowanie i wzmacnianie więzi
Zmiana stylu życia na bardziej ekologiczny,FALSE,TRUE,TRUE,TRUE,3,15,-5,-10,20,Zdrowie,Świadome decyzje poprawiające zdrowie i planetę
Otwarcie sklepu internetowego,TRUE,TRUE,TRUE,TRUE,5,40,-20,25,35,Pieniądze,Budowa własnego biznesu online
Zakup sprzętu do pracy zdalnej,TRUE,TRUE,TRUE,TRUE,3,10,,-10,15,Kariera,Poprawa komfortu i efektywności pracy
Amatorsko występuj w teatrze,FALSE,TRUE,TRUE,TRUE,4,5,0,0,20,Relacje,Wymagające hobby dające dużą rozpoznawalność
Kandyduj do samorządu,FALSE,TRUE,TRUE,TRUE,5,5,-10,5,30,Relacje,"Z wielką mocą wiąże się wielka odpowiedialność"
